"ID","Input Lon","Input Lat","Elev(ft)","Elev(m)"
1,-80.52187,39.83311,1358.20,413.98
2,-80.52263,39.83311,1428.97,435.55
3,-80.52339,39.83311,1449.21,441.72
4,-80.52415,39.83311,1445.01,440.44
5,-80.52491,39.83311,1396.78,425.74
6,-80.52567,39.83311,1328.05,404.79
7,-80.52643,39.83311,1251.87,381.57
8,-80.52720,39.83311,1281.46,390.59
9,-80.52796,39.83311,1337.40,407.64
10,-80.52872,39.83311,1320.18,402.39
11,-80.52948,39.83311,1252.33,381.71
12,-80.53024,39.83311,1172.90,357.50
13,-80.53100,39.83311,1199.21,365.52
14,-80.53176,39.83311,1275.23,388.69
15,-80.53252,39.83311,1333.89,406.57
16,-80.53329,39.83311,1295.44,394.85
17,-80.53405,39.83311,1230.38,375.02
18,-80.53481,39.83311,1169.19,356.37
19,-80.53557,39.83311,1156.82,352.60
20,-80.53633,39.83311,1219.49,371.70
21,-80.53709,39.83311,1284.45,391.50
22,-80.53785,39.83311,1349.38,411.29
23,-80.53861,39.83311,1427.69,435.16
24,-80.53937,39.83311,1404.53,428.10
25,-80.54014,39.83311,1336.19,407.27
26,-80.54090,39.83311,1275.98,388.92
27,-80.54166,39.83311,1225.82,373.63
28,-80.54242,39.83311,1175.13,358.18
29,-80.54318,39.83311,1151.97,351.12
30,-80.54394,39.83311,1184.81,361.13
31,-80.54470,39.83311,1258.27,383.52
32,-80.54546,39.83311,1329.07,405.10
33,-80.54623,39.83311,1423.88,434.00
34,-80.54699,39.83311,1421.46,433.26
35,-80.54775,39.83311,1347.44,410.70
36,-80.54851,39.83311,1272.18,387.76
37,-80.54927,39.83311,1220.83,372.11
38,-80.55003,39.83311,1162.76,354.41
39,-80.55079,39.83311,1215.55,370.50
40,-80.55155,39.83311,1212.53,369.58
41,-80.55232,39.83311,1238.78,377.58
42,-80.55308,39.83311,1314.44,400.64
43,-80.55384,39.83311,1310.17,399.34
44,-80.55460,39.83311,1233.76,376.05
45,-80.55536,39.83311,1153.77,351.67
46,-80.55612,39.83311,1111.81,338.88
47,-80.55688,39.83311,1202.17,366.42
48,-80.55764,39.83311,1281.66,390.65
49,-80.55840,39.83311,1316.14,401.16
50,-80.55917,39.83311,1286.06,391.99
51,-80.55993,39.83311,1282.91,391.03
52,-80.56069,39.83311,1301.64,396.74
53,-80.56145,39.83311,1271.98,387.70
54,-80.56221,39.83311,1203.31,366.77
55,-80.56297,39.83311,1143.04,348.40
